epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.046,1.50413,3.78432,1.55296,0.02399,0.30591,0.09358,0.05658,1.31769,3.94087,1.35456,0.00012138,0.00012138,0.00012138
2,373.428,1.41876,3.26872,1.5205,0.0191,0.32444,0.09877,0.05761,1.44717,3.66082,1.41132,0.00022516,0.00022516,0.00022516
3,548.275,1.42971,2.63184,1.52206,0.82826,0.09022,0.18357,0.10261,1.5051,3.16824,1.46668,0.000303493,0.000303493,0.000303493
