epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4673,1.55663,3.8465,1.64181,0.02638,0.32554,0.10012,0.05668,1.32012,3.92725,1.38028,9.282e-05,9.282e-05,9.282e-05
2,72.9521,1.4066,3.43534,1.54422,0.02359,0.33195,0.11561,0.07164,1.31324,3.83549,1.37685,0.000173695,0.000173695,0.000173695
3,107.216,1.44661,2.94863,1.5146,0.94187,0.05932,0.11845,0.07179,1.4466,3.44659,1.44415,0.000234777,0.000234777,0.000234777
4,142.207,1.36169,2.58096,1.51628,0.90686,0.10259,0.17567,0.10118,1.46358,3.117,1.46872,0.000276068,0.000276068,0.000276068
