epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6397,1.54588,3.83386,1.57589,0.03208,0.32141,0.09934,0.05542,1.32456,3.93307,1.37877,9.282e-05,9.282e-05,9.282e-05
2,76.1912,1.40974,3.5117,1.49757,0.02939,0.33465,0.11841,0.06994,1.35302,3.83158,1.37976,0.000186418,0.000186418,0.000186418
3,112.012,1.43876,3.04164,1.5251,0.93948,0.06549,0.11511,0.06597,1.46148,3.44138,1.45064,0.000273419,0.000273419,0.000273419
4,147.677,1.3484,2.55693,1.50814,0.71139,0.1375,0.17611,0.09084,1.60533,2.99094,1.55263,0.000353823,0.000353823,0.000353823
5,183.182,1.40473,2.45298,1.53876,0.57585,0.22035,0.24462,0.13433,1.53462,2.52609,1.50115,0.000427629,0.000427629,0.000427629
6,219.899,1.33108,2.16069,1.476,0.39857,0.2782,0.24131,0.13351,1.53134,2.4887,1.53085,0.000494838,0.000494838,0.000494838
7,258.142,1.35677,2.1206,1.49462,0.34996,0.28873,0.27759,0.14923,1.57031,2.28909,1.56194,0.000555449,0.000555449,0.000555449
8,297.35,1.31345,1.9522,1.45877,0.40214,0.3145,0.29551,0.1588,1.53079,2.33055,1.54804,0.000549066,0.000549066,0.000549066
9,337.813,1.32421,1.88233,1.46056,0.46139,0.35164,0.34049,0.18618,1.4853,2.20018,1.54941,0.000525504,0.000525504,0.000525504
10,376.883,1.28084,1.86485,1.44031,0.42127,0.33835,0.32783,0.18024,1.51125,2.19353,1.58352,0.000501942,0.000501942,0.000501942
11,416.438,1.32249,1.97955,1.49561,0.45917,0.36189,0.36005,0.19871,1.48837,2.01991,1.55191,0.00047838,0.00047838,0.00047838
12,456.333,1.29237,1.83946,1.45591,0.46038,0.34401,0.33844,0.17566,1.53748,2.14198,1.54107,0.000454818,0.000454818,0.000454818
13,495.521,1.24762,1.76992,1.39486,0.47928,0.36629,0.37265,0.19975,1.50397,2.00669,1.526,0.000431256,0.000431256,0.000431256
14,534.416,1.20231,2.09814,1.38997,0.56676,0.37668,0.41027,0.22323,1.46295,1.8937,1.51876,0.000407694,0.000407694,0.000407694
