epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2525,1.5457,3.84078,1.62867,0.02852,0.3299,0.10144,0.05804,1.31302,3.92797,1.37585,9.282e-05,9.282e-05,9.282e-05
2,76.4821,1.40829,3.43177,1.54375,0.02412,0.32675,0.11691,0.07234,1.30491,3.84693,1.38086,0.000173695,0.000173695,0.000173695
3,115.704,1.46366,2.94224,1.52121,0.93429,0.06449,0.11324,0.06955,1.44186,3.44724,1.48223,0.000234777,0.000234777,0.000234777
4,156.932,1.39348,2.66391,1.53785,0.80443,0.09773,0.17883,0.10364,1.46297,3.13507,1.50665,0.000276068,0.000276068,0.000276068
5,196.782,1.40755,2.39093,1.51666,0.65788,0.12972,0.2308,0.12902,1.48954,2.88822,1.50763,0.000297567,0.000297567,0.000297567
6,237.234,1.35687,2.18412,1.47621,0.40115,0.21545,0.26943,0.14909,1.48339,2.5001,1.45985,0.000299273,0.000299273,0.000299273
7,276.428,1.30612,2.05154,1.44225,0.47606,0.27186,0.29813,0.16678,1.46239,2.34421,1.45611,0.000281187,0.000281187,0.000281187
8,317.501,1.27928,2.0175,1.43925,0.43973,0.33258,0.33588,0.189,1.4555,2.10678,1.4393,0.000219198,0.000219198,0.000219198
9,357.782,1.32052,1.93377,1.4588,0.46573,0.35552,0.35903,0.19992,1.46224,2.04498,1.4468,0.000148512,0.000148512,0.000148512
10,398.074,1.23411,1.91106,1.38186,0.46995,0.36484,0.37071,0.20773,1.45394,2.02491,1.44751,7.7826e-05,7.7826e-05,7.7826e-05
